date,close,open,high,low,volume,average,barCount
2010-03-11,459864604672.0,,,,,,
2010-03-12,469340618752.0,,,,,,
2010-03-15,486351437824.0,,,,,,
2010-03-16,446735482880.0,,,,,,
2010-03-17,446735482880.0,,,,,,
2010-03-18,446735482880.0,,,,,,
2010-03-19,466029641728.0,,,,,,
2010-03-22,427783749632.0,,,,,,
2010-03-23,407347888128.0,,,,,,
2010-03-24,417965375488.0,,,,,,
2010-03-25,423445430272.0,,,,,,
2010-03-26,431665348608.0,,,,,,
2010-03-29,417965375488.0,,,,,,
2010-03-30,415910297600.0,,,,,,
2010-03-31,416823738368.0,,,,,,
2010-04-01,418878619648.0,,,,,,
2010-04-05,379148599296.0,,,,,,
2010-04-06,385313570816.0,,,,,,
2010-04-07,377892700160.0,,,,,,
2010-04-08,397529448448.0,,,,,,
2010-04-09,392734507008.0,,,,,,
2010-04-12,373782740992.0,,,,,,
2010-04-13,366590197760.0,,,,,,
2010-04-14,319096750080.0,,,,,,
2010-04-15,316014198784.0,,,,,,
2010-04-16,327545028608.0,,,,,,
2010-04-19,338733465600.0,,,,,,
2010-04-20,323663462400.0,,,,,,
2010-04-21,335308423168.0,,,,,,
2010-04-22,312246730752.0,,,,,,
2010-04-23,310648340480.0,,,,,,
2010-04-26,311675879424.0,,,,,,
2010-04-27,342500966400.0,,,,,,
2010-04-28,342615097344.0,,,,,,
2010-04-29,323320905728.0,,,,,,
2010-04-30,367731900416.0,,,,,,
2010-05-03,339304382464.0,,,,,,
2010-05-04,383943671808.0,,,,,,
2010-05-05,396387713024.0,,,,,,
2010-05-06,422874546176.0,,,,,,
2010-05-07,451416260608.0,,,,,,
2010-05-10,374467624960.0,,,,,,
2010-05-11,381888528384.0,,,,,,
2010-05-12,348095184896.0,,,,,,
2010-05-13,376865292288.0,,,,,,
2010-05-14,411115356160.0,,,,,,
2010-05-17,392277819392.0,,,,,,
2010-05-18,426071261184.0,,,,,,
2010-05-19,420134486016.0,,,,,,
2010-05-20,454612942848.0,,,,,,
2010-05-21,422874546176.0,,,,,,
2010-05-24,445822074880.0,,,,,,
2010-05-25,436688715776.0,,,,,,
