date,close,open,high,low,volume,average,barCount
2015-05-29,18161.1328125,,,,,,
2015-06-01,18161.1328125,,,,,,
2015-06-02,18161.1328125,,,,,,
2015-06-03,18066.70703125,,,,,,
2015-06-04,18844.595703125,,,,,,
2015-06-05,18844.595703125,,,,,,
2015-06-08,18228.576171875,,,,,,
2015-06-09,17608.072265625,,,,,,
2015-06-10,17171.9140625,,,,,,
2015-06-11,17171.9140625,,,,,,
2015-06-12,17171.9140625,,,,,,
2015-06-15,18764.103515625,,,,,,
2015-06-16,17760.9453125,,,,,,
2015-06-17,18201.60546875,,,,,,
2015-06-18,18201.60546875,,,,,,
2015-06-19,19415.638671875,,,,,,
2015-06-22,19181.82421875,,,,,,
2015-06-23,18269.048828125,,,,,,
2015-06-24,18318.5078125,,,,,,
2015-06-25,19019.951171875,,,,,,
2015-06-26,19019.951171875,,,,,,
2015-06-29,20764.57421875,,,,,,
2015-06-30,20773.5625,,,,,,
2015-07-01,21020.869140625,,,,,,
2015-07-02,23134.197265625,,,,,,
2015-07-06,25270.005859375,,,,,,
2015-07-07,23062.25,,,,,,
2015-07-08,26101.849609375,,,,,,
2015-07-09,23822.150390625,,,,,,
2015-07-10,24730.43359375,,,,,,
2015-07-13,25288.890625,,,,,,
2015-07-14,22001.095703125,,,,,,
2015-07-15,24606.78125,,,,,,
2015-07-16,25539.79296875,,,,,,
2015-07-17,26744.83984375,,,,,,
2015-07-20,30620.779296875,,,,,,
2015-07-21,30166.630859375,,,,,,
2015-07-22,31967.455078125,,,,,,
2015-07-23,31924.7421875,,,,,,
2015-07-24,34735.015625,,,,,,
2015-07-27,37761.125,,,,,,
2015-07-28,33386.0859375,,,,,,
2015-07-29,30674.73046875,,,,,,
2015-07-30,32122.580078125,,,,,,
2015-07-31,34592.48046875,,,,,,
2015-08-03,37770.11328125,,,,,,
2015-08-04,37635.2265625,,,,,,
2015-08-05,38723.3671875,,,,,,
2015-08-06,33660.375,,,,,,
2015-08-07,36722.453125,,,,,,
2015-08-10,29159.4296875,,,,,,
2015-08-11,29397.73828125,,,,,,
2015-08-12,27378.833984375,,,,,,
2015-08-13,29442.708984375,,,,,,
2015-08-14,30141.90625,,,,,,
