date,close,open,high,low,volume,average,barCount
2008-11-19,84480.5234375,,,,,,
2008-11-20,113588.234375,,,,,,
2008-11-21,76171.3984375,,,,,,
2008-11-24,60530.65625,,,,,,
2008-11-25,59167.2265625,,,,,,
2008-11-26,47616.76171875,,,,,,
2008-11-28,50549.3984375,,,,,,
2008-12-01,63450.4375,,,,,,
2008-12-02,58344.0390625,,,,,,
2008-12-03,57469.3984375,,,,,,
2008-12-04,69933.109375,,,,,,
2008-12-05,64312.20703125,,,,,,
2008-12-08,55308.5078125,,,,,,
2008-12-09,54986.94921875,,,,,,
2008-12-10,47809.7109375,,,,,,
2008-12-11,47745.38671875,,,,,,
2008-12-12,48967.3203125,,,,,,
2008-12-15,49391.77734375,,,,,,
2008-12-16,44619.8125,,,,,,
2008-12-17,46304.79296875,,,,,,
2008-12-18,54150.8828125,,,,,,
2008-12-19,54871.18359375,,,,,,
2008-12-22,58871.3984375,,,,,,
2008-12-23,59746.046875,,,,,,
2008-12-24,59463.07421875,,,,,,
2008-12-26,56581.88671875,,,,,,
2008-12-29,53417.7265625,,,,,,
2008-12-30,50034.90234375,,,,,,
2008-12-31,48041.21875,,,,,,
2009-01-02,41931.55859375,,,,,,
2009-01-05,39603.46484375,,,,,,
2009-01-06,38973.2109375,,,,,,
2009-01-07,43487.92578125,,,,,,
2009-01-08,41867.24609375,,,,,,
2009-01-09,45430.15234375,,,,,,
2009-01-12,50163.53515625,,,,,,
2009-01-13,46587.76171875,,,,,,
2009-01-14,52723.15625,,,,,,
2009-01-15,51089.62109375,,,,,,
2009-01-16,49494.68359375,,,,,,
2009-01-20,56491.84375,,,,,,
2009-01-21,46369.1171875,,,,,,
2009-01-22,49546.12890625,,,,,,
2009-01-23,45996.09375,,,,,,
2009-01-26,43835.2109375,,,,,,
2009-01-27,43732.30078125,,,,,,
2009-01-28,40786.80859375,,,,,,
2009-01-29,45018.5546875,,,,,,
2009-01-30,46446.28515625,,,,,,
2009-02-02,47886.86328125,,,,,,
2009-02-03,45224.33984375,,,,,,
2009-02-04,44877.0625,,,,,,
2009-02-05,41185.5390625,,,,,,
2009-02-06,39153.2734375,,,,,,
2009-02-09,38947.47265625,,,,,,
2009-02-10,44118.17578125,,,,,,
2009-02-11,45918.90625,,,,,,
2009-02-12,45430.15234375,,,,,,
2009-02-13,45816.01953125,,,,,,
2009-02-17,54215.19921875,,,,,,
2009-02-18,54768.28125,,,,,,
2009-02-19,54047.984375,,,,,,
2009-02-20,58446.9375,,,,,,
2009-02-23,65598.46875,,,,,,
2009-02-24,56517.57421875,,,,,,
2009-02-25,57688.0546875,,,,,,
2009-02-26,57958.15625,,,,,,
2009-02-27,62550.05859375,,,,,,
2009-03-02,75502.5390625,,,,,,
2009-03-03,74653.6328125,,,,,,
2009-03-04,65354.0703125,,,,,,
2009-03-05,74782.25,,,,,,
2009-03-06,71656.6640625,,,,,,
2009-03-09,70344.7109375,,,,,,
2009-03-10,60337.71875,,,,,,
2009-03-11,61006.55859375,,,,,,
2009-03-12,56080.24609375,,,,,,
2009-03-13,57122.10546875,,,,,,
2009-03-16,55874.453125,,,,,,
