date,close,open,high,low,volume,average,barCount
2011-10-04,514500001792.0,,,,,,
2011-10-05,453450006528.0,,,,,,
2011-10-06,434999984128.0,,,,,,
2011-10-07,441299992576.0,,,,,,
2011-10-10,389850005504.0,,,,,,
2011-10-11,376499994624.0,,,,,,
2011-10-12,321899986944.0,,,,,,
2011-10-13,324150001664.0,,,,,,
2011-10-14,292199989248.0,,,,,,
2011-10-17,348749987840.0,,,,,,
2011-10-18,325500010496.0,,,,,,
2011-10-19,361649995776.0,,,,,,
2011-10-20,362250010624.0,,,,,,
2011-10-21,325500010496.0,,,,,,
2011-10-24,285900013568.0,,,,,,
2011-10-25,323249995776.0,,,,,,
2011-10-26,297599991808.0,,,,,,
2011-10-27,218250002432.0,,,,,,
2011-10-28,214350004224.0,,,,,,
2011-10-31,259950002176.0,,,,,,
2011-11-01,336150003712.0,,,,,,
2011-11-02,315449999360.0,,,,,,
2011-11-03,285750001664.0,,,,,,
2011-11-04,296550006784.0,,,,,,
2011-11-07,291150004224.0,,,,,,
2011-11-08,263700004864.0,,,,,,
2011-11-09,361350004736.0,,,,,,
2011-11-10,315600011264.0,,,,,,
2011-11-11,289349992448.0,,,,,,
2011-11-14,303150006272.0,,,,,,
2011-11-15,297300000768.0,,,,,,
2011-11-16,326099992576.0,,,,,,
2011-11-17,357149999104.0,,,,,,
2011-11-18,332699992064.0,,,,,,
2011-11-21,340949991424.0,,,,,,
2011-11-22,326700007424.0,,,,,,
2011-11-23,356100014080.0,,,,,,
2011-11-25,365249986560.0,,,,,,
2011-11-28,330450010112.0,,,,,,
2011-11-29,316499984384.0,,,,,,
2011-11-30,260400005120.0,,,,,,
2011-12-01,248549998592.0,,,,,,
2011-12-02,247049994240.0,,,,,,
2011-12-05,246300000256.0,,,,,,
2011-12-06,244050001920.0,,,,,,
2011-12-07,259499999232.0,,,,,,
2011-12-08,283499986944.0,,,,,,
2011-12-09,244199997440.0,,,,,,
2011-12-12,244799995904.0,,,,,,
2011-12-13,242850004992.0,,,,,,
2011-12-14,243749994496.0,,,,,,
2011-12-15,225599995904.0,,,,,,
2011-12-16,223050006528.0,,,,,,
2011-12-19,218100006912.0,,,,,,
2011-12-20,191400001536.0,,,,,,
2011-12-21,166200000512.0,,,,,,
2011-12-22,166050004992.0,,,,,,
2011-12-23,173999996928.0,,,,,,
2011-12-27,172050006016.0,,,,,,
2011-12-28,185700007936.0,,,,,,
2011-12-29,176849993728.0,,,,,,
2011-12-30,182399991808.0,,,,,,
2012-01-03,163200008192.0,,,,,,
2012-01-04,156899999744.0,,,,,,
2012-01-05,149700001792.0,,,,,,
2012-01-06,144899997696.0,,,,,,
2012-01-09,140549996544.0,,,,,,
2012-01-10,134699999232.0,,,,,,
2012-01-11,138600005632.0,,,,,,
2012-01-12,134999998464.0,,,,,,
2012-01-13,142199996416.0,,,,,,
2012-01-17,140099993600.0,,,,,,
2012-01-18,130200002560.0,,,,,,
2012-01-19,122850000896.0,,,,,,
2012-01-20,115650002944.0,,,,,,
2012-01-23,109499998208.0,,,,,,
2012-01-24,110250000384.0,,,,,,
2012-01-25,101100003328.0,,,,,,
2012-01-26,101100003328.0,,,,,,
2012-01-27,96899997696.0,,,,,,
2012-01-30,102599999488.0,,,,,,
2012-01-31,102450003968.0,,,,,,
2012-02-01,97050001408.0,,,,,,
2012-02-02,91199995904.0,,,,,,
2012-02-03,81600004096.0,,,,,,
2012-02-06,79649996800.0,,,,,,
2012-02-07,80850001920.0,,,,,,
2012-02-08,84599996416.0,,,,,,
2012-02-09,92999999488.0,,,,,,
2012-02-10,108899999744.0,,,,,,
2012-02-13,92400001024.0,,,,,,
2012-02-14,97949999104.0,,,,,,
2012-02-15,109050003456.0,,,,,,
2012-02-16,100199997440.0,,,,,,
2012-02-17,99000000512.0,,,,,,
2012-02-21,97199996928.0,,,,,,
2012-02-22,91949998080.0,,,,,,
2012-02-23,80399998976.0,,,,,,
2012-02-24,85949997056.0,,,,,,
2012-02-27,87299997696.0,,,,,,
2012-02-28,85349998592.0,,,,,,
2012-02-29,82349998080.0,,,,,,
2012-03-01,79349997568.0,,,,,,
2012-03-02,80550002688.0,,,,,,
2012-03-05,79800000512.0,,,,,,
2012-03-06,91949998080.0,,,,,,
2012-03-07,83100000256.0,,,,,,
